,Ticker Symbol,Years,Period Ending, Total Revenue , Cost of Goods Sold ," Sales, General and Admin. ", Research and Development , Other Operating Items ,GICS Sector,GICS Sub Industry
33,ADM,Year 2,12/31/2013," $89,804,000,000 "," $85,915,000,000 "," $1,759,000,000 ", $-   , $-   ,Consumer Staples,Agricultural Products
34,ADM,Year 3,12/31/2014," $81,201,000,000 "," $76,433,000,000 "," $1,907,000,000 ", $-   , $-   ,Consumer Staples,Agricultural Products
35,ADM,Year 4,12/31/2015," $67,702,000,000 "," $63,682,000,000 "," $2,010,000,000 ", $-   , $-   ,Consumer Staples,Agricultural Products
36,ADS,Year 1,12/31/2012," $3,641,390,000 "," $2,392,091,000 "," $108,059,000 ", $-   ," $166,876,000 ",Information Technology,Data Processing & Outsourced Services
37,ADS,Year 2,12/31/2013," $4,319,063,000 "," $2,894,917,000 "," $109,115,000 ", $-   ," $216,119,000 ",Information Technology,Data Processing & Outsourced Services
38,ADS,Year 3,12/31/2014," $5,302,940,000 "," $3,643,979,000 "," $247,412,000 ", $-   ," $313,082,000 ",Information Technology,Data Processing & Outsourced Services
39,ADS,Year 4,12/31/2015," $6,439,746,000 "," $4,482,700,000 "," $203,046,000 ", $-   ," $492,140,000 ",Information Technology,Data Processing & Outsourced Services
40,ADSK,Year 1,1/31/2013," $2,312,200,000 "," $238,500,000 "," $1,081,800,000 "," $600,000,000 "," $42,100,000 ",Information Technology,Application Software
41,ADSK,Year 2,1/31/2014," $2,273,900,000 "," $274,300,000 "," $1,054,400,000 "," $611,100,000 "," $36,500,000 ",Information Technology,Application Software
42,ADSK,Year 3,1/31/2015," $2,512,200,000 "," $342,100,000 "," $1,281,300,000 "," $725,200,000 "," $39,800,000 ",Information Technology,Application Software
43,ADSK,Year 4,1/31/2016," $2,504,100,000 "," $370,700,000 "," $1,308,900,000 "," $790,000,000 "," $33,200,000 ",Information Technology,Application Software
44,AEE,Year 1,12/31/2012," $5,781,000,000 "," $3,477,000,000 "," $443,000,000 ", $-   ," $673,000,000 ",Utilities,MultiUtilities
45,AEE,Year 2,12/31/2013," $5,838,000,000 "," $3,490,000,000 "," $458,000,000 ", $-   ," $706,000,000 ",Utilities,MultiUtilities
46,AEE,Year 3,12/31/2014," $6,053,000,000 "," $3,586,000,000 "," $468,000,000 ", $-   ," $745,000,000 ",Utilities,MultiUtilities
47,AEE,Year 4,12/31/2015," $6,098,000,000 "," $3,501,000,000 "," $542,000,000 ", $-   ," $796,000,000 ",Utilities,MultiUtilities
48,AEP,Year 1,12/31/2012," $14,945,000,000 "," $6,395,000,000 "," $3,812,000,000 ", $-   ," $1,782,000,000 ",Utilities,Electric Utilities
49,AEP,Year 2,12/31/2013," $14,813,500,000 "," $6,722,300,000 "," $3,329,800,000 ", $-   ," $1,712,500,000 ",Utilities,Electric Utilities
50,AEP,Year 3,12/31/2014," $16,378,600,000 "," $7,685,700,000 "," $3,667,900,000 ", $-   ," $1,897,600,000 ",Utilities,Electric Utilities
51,AEP,Year 4,12/31/2015," $16,453,200,000 "," $7,433,500,000 "," $3,676,500,000 ", $-   ," $2,009,700,000 ",Utilities,Electric Utilities
52,AFL,Year 1,12/31/2012," $25,364,000,000 "," $17,074,000,000 ", $-   , $-   ," $3,727,000,000 ",Financials,Life & Health Insurance
53,AFL,Year 2,12/31/2013," $23,939,000,000 "," $15,341,000,000 ", $-   , $-   ," $3,489,000,000 ",Financials,Life & Health Insurance
54,AFL,Year 3,12/31/2014," $22,728,000,000 "," $14,373,000,000 ", $-   , $-   ," $3,547,000,000 ",Financials,Life & Health Insurance
55,AFL,Year 4,12/31/2015," $20,872,000,000 "," $13,049,000,000 ", $-   , $-   ," $3,672,000,000 ",Financials,Life & Health Insurance
56,AIG,Year 1,12/31/2012," $71,214,000,000 "," $37,745,000,000 "," $21,491,000,000 ", $-   , $-   ,Financials,Property & Casualty Insurance
57,AIG,Year 2,12/31/2013," $68,874,000,000 "," $34,660,000,000 "," $22,005,000,000 ", $-   , $-   ,Financials,Property & Casualty Insurance
58,AIG,Year 3,12/31/2014," $64,406,000,000 "," $33,611,000,000 "," $18,491,000,000 ", $-   , $-   ,Financials,Property & Casualty Insurance
59,AIG,Year 4,12/31/2015," $58,327,000,000 "," $36,581,000,000 "," $16,417,000,000 ", $-   , $-   ,Financials,Property & Casualty Insurance
60,AIV,Year 1,12/31/2012," $958,511,000 "," $386,355,000 "," $61,732,000 ", $-   ," $325,173,000 ",Real Estate,REITs
61,AIV,Year 2,12/31/2013," $974,053,000 "," $380,051,000 "," $53,073,000 ", $-   ," $291,910,000 ",Real Estate,REITs
62,AIV,Year 3,12/31/2014," $984,363,000 "," $380,964,000 "," $56,621,000 ", $-   ," $282,608,000 ",Real Estate,REITs
63,AIV,Year 4,12/31/2015," $981,310,000 "," $365,248,000 "," $53,546,000 ", $-   ," $306,301,000 ",Real Estate,REITs
64,AIZ,Year 1,12/31/2013," $9,047,657,000 "," $6,709,936,000 ", $-   , $-   ," $1,470,287,000 ",Financials,Multi-line Insurance
65,AIZ,Year 2,12/31/2014," $10,381,653,000 "," $8,093,563,000 ", $-   , $-   ," $1,485,558,000 ",Financials,Multi-line Insurance
66,AIZ,Year 3,12/31/2015," $10,325,494,000 "," $8,666,624,000 ", $-   , $-   ," $1,402,573,000 ",Financials,Multi-line Insurance
67,AIZ,Year 4,12/31/2016," $7,531,780,000 "," $5,251,228,000 ", $-   , $-   ," $1,351,314,000 ",Financials,Multi-line Insurance
72,AKAM,Year 1,12/31/2012," $1,373,947,000 "," $529,900,000 "," $433,448,000 "," $74,744,000 "," $20,962,000 ",Information Technology,Internet Software & Services
73,AKAM,Year 2,12/31/2013," $1,577,922,000 "," $511,087,000 "," $535,598,000 "," $93,879,000 "," $21,547,000 ",Information Technology,Internet Software & Services
74,AKAM,Year 3,12/31/2014," $1,963,874,000 "," $610,943,000 "," $704,880,000 "," $125,286,000 "," $32,057,000 ",Information Technology,Internet Software & Services
75,AKAM,Year 4,12/31/2015," $2,197,448,000 "," $725,620,000 "," $829,253,000 "," $148,591,000 "," $27,067,000 ",Information Technology,Internet Software & Services
76,ALB,Year 1,12/31/2012," $2,519,154,000 "," $1,620,311,000 "," $308,456,000 "," $78,919,000 ", $-   ,Materials,Specialty Chemicals
77,ALB,Year 2,12/31/2013," $2,394,270,000 "," $1,543,799,000 "," $158,189,000 "," $82,246,000 ", $-   ,Materials,Specialty Chemicals
78,ALB,Year 3,12/31/2014," $2,445,548,000 "," $1,674,700,000 "," $355,135,000 "," $88,310,000 ", $-   ,Materials,Specialty Chemicals
79,ALB,Year 4,12/31/2015," $3,651,335,000 "," $2,454,463,000 "," $512,274,000 "," $102,871,000 ", $-   ,Materials,Specialty Chemicals
80,ALK,Year 1,12/31/2012," $4,657,000,000 "," $2,319,000,000 "," $1,542,000,000 ", $-   ," $264,000,000 ",Industrials,Airlines
81,ALK,Year 2,12/31/2013," $5,156,000,000 "," $2,355,000,000 "," $1,693,000,000 ", $-   ," $270,000,000 ",Industrials,Airlines
82,ALK,Year 3,12/31/2014," $5,368,000,000 "," $2,325,000,000 "," $1,817,000,000 ", $-   ," $294,000,000 ",Industrials,Airlines
83,ALK,Year 4,12/31/2015," $5,598,000,000 "," $1,935,000,000 "," $2,013,000,000 ", $-   ," $320,000,000 ",Industrials,Airlines
84,ALL,Year 1,12/31/2012," $33,315,000,000 "," $21,618,000,000 ", $-   , $-   ," $8,002,000,000 ",Financials,Property & Casualty Insurance
85,ALL,Year 2,12/31/2013," $34,507,000,000 "," $19,828,000,000 "," $1,278,000,000 ", $-   ," $8,389,000,000 ",Financials,Property & Casualty Insurance
86,ALL,Year 3,12/31/2014," $35,239,000,000 "," $21,193,000,000 "," $919,000,000 ", $-   ," $8,476,000,000 ",Financials,Property & Casualty Insurance
87,ALL,Year 4,12/31/2015," $35,653,000,000 "," $22,837,000,000 "," $761,000,000 ", $-   ," $8,445,000,000 ",Financials,Property & Casualty Insurance
88,ALLE,Year 1,12/31/2013," $2,069,600,000 "," $1,208,100,000 "," $483,100,000 ", $-   , $-   ,Industrials,Building Products
89,ALLE,Year 2,12/31/2014," $2,118,300,000 "," $1,264,600,000 "," $527,400,000 ", $-   , $-   ,Industrials,Building Products
90,ALLE,Year 3,12/31/2015," $2,068,100,000 "," $1,199,000,000 "," $510,500,000 ", $-   , $-   ,Industrials,Building Products
91,ALLE,Year 4,12/31/2016," $2,238,000,000 "," $1,252,700,000 "," $559,800,000 ", $-   , $-   ,Industrials,Building Products
92,ALXN,Year 1,12/31/2013," $1,551,346,000 "," $177,556,000 "," $493,726,000 "," $317,093,000 "," $417,000 ",Health Care,Biotechnology
93,ALXN,Year 2,12/31/2014," $2,234,000,000 "," $174,000,000 "," $650,000,000 "," $514,000,000 ", $-   ,Health Care,Biotechnology
94,ALXN,Year 3,12/31/2015," $2,604,000,000 "," $233,000,000 "," $927,000,000 "," $709,000,000 "," $117,000,000 ",Health Care,Biotechnology
95,ALXN,Year 4,12/31/2016," $3,084,000,000 "," $258,000,000 "," $990,000,000 "," $757,000,000 "," $322,000,000 ",Health Care,Biotechnology
96,AMAT,Year 1,10/27/2013," $7,509,000,000 "," $4,518,000,000 "," $898,000,000 "," $1,320,000,000 ", $-   ,Information Technology,Semiconductor Equipment
97,AMAT,Year 2,10/26/2014," $9,072,000,000 "," $5,229,000,000 "," $895,000,000 "," $1,428,000,000 ", $-   ,Information Technology,Semiconductor Equipment
98,AMAT,Year 3,10/25/2015," $9,659,000,000 "," $5,707,000,000 "," $808,000,000 "," $1,451,000,000 ", $-   ,Information Technology,Semiconductor Equipment
99,AMAT,Year 4,10/30/2016," $10,825,000,000 "," $6,314,000,000 "," $819,000,000 "," $1,540,000,000 ", $-   ,Information Technology,Semiconductor Equipment
100,AME,Year 1,12/31/2012," $3,334,213,000 "," $2,154,132,000 "," $380,532,000 ", $-   ," $53,677,000 ",Industrials,Electrical Components & Equipment
101,AME,Year 2,12/31/2013," $3,594,136,000 "," $2,323,642,000 "," $398,177,000 ", $-   ," $57,238,000 ",Industrials,Electrical Components & Equipment
102,AME,Year 3,12/31/2014," $4,021,964,000 "," $2,597,017,000 "," $462,637,000 ", $-   ," $63,724,000 ",Industrials,Electrical Components & Equipment
103,AME,Year 4,12/31/2015," $3,974,295,000 "," $2,549,280,000 "," $448,592,000 ", $-   ," $68,707,000 ",Industrials,Electrical Components & Equipment
108,AMGN,Year 1,12/31/2013," $18,676,000,000 "," $3,346,000,000 "," $5,380,000,000 "," $4,083,000,000 ", $-   ,Health Care,Biotechnology
109,AMGN,Year 2,12/31/2014," $20,063,000,000 "," $4,422,000,000 "," $5,153,000,000 "," $4,297,000,000 ", $-   ,Health Care,Biotechnology
110,AMGN,Year 3,12/31/2015," $21,662,000,000 "," $4,227,000,000 "," $4,895,000,000 "," $4,070,000,000 ", $-   ,Health Care,Biotechnology
111,AMGN,Year 4,12/31/2016," $22,991,000,000 "," $4,162,000,000 "," $5,195,000,000 "," $3,840,000,000 ", $-   ,Health Care,Biotechnology
112,AMP,Year 1,12/31/2012," $10,259,000,000 "," $1,899,000,000 "," $3,927,000,000 ", $-   ," $2,877,000,000 ",Financials,Asset Management & Custody Banks
113,AMP,Year 2,12/31/2013," $11,230,000,000 "," $1,954,000,000 "," $3,862,000,000 ", $-   ," $3,132,000,000 ",Financials,Asset Management & Custody Banks
114,AMP,Year 3,12/31/2014," $12,296,000,000 "," $1,982,000,000 "," $3,808,000,000 ", $-   ," $3,603,000,000 ",Financials,Asset Management & Custody Banks
115,AMP,Year 4,12/31/2015," $12,200,000,000 "," $2,261,000,000 "," $3,750,000,000 ", $-   ," $3,630,000,000 ",Financials,Asset Management & Custody Banks
116,AMT,Year 1,12/31/2012," $2,875,960,000 "," $722,479,000 "," $389,486,000 ", $-   ," $644,276,000 ",Real Estate,Specialized REITs
117,AMT,Year 2,12/31/2013," $3,361,407,000 "," $859,873,000 "," $487,084,000 ", $-   ," $800,145,000 ",Real Estate,Specialized REITs
118,AMT,Year 3,12/31/2014," $4,100,048,000 "," $1,094,265,000 "," $515,059,000 ", $-   ," $1,003,802,000 ",Real Estate,Specialized REITs
119,AMT,Year 4,12/31/2015," $4,771,516,000 "," $1,308,868,000 "," $564,531,000 ", $-   ," $1,285,328,000 ",Real Estate,Specialized REITs
120,AMZN,Year 1,12/31/2013," $74,452,000,000 "," $54,181,000,000 "," $19,526,000,000 ", $-   , $-   ,Consumer Discretionary,Internet & Direct Marketing Retail
121,AMZN,Year 2,12/31/2014," $88,988,000,000 "," $62,752,000,000 "," $26,058,000,000 ", $-   , $-   ,Consumer Discretionary,Internet & Direct Marketing Retail
122,AMZN,Year 3,12/31/2015," $107,006,000,000 "," $71,651,000,000 "," $33,122,000,000 ", $-   , $-   ,Consumer Discretionary,Internet & Direct Marketing Retail
123,AMZN,Year 4,12/31/2016," $135,987,000,000 "," $88,265,000,000 "," $43,536,000,000 ", $-   , $-   ,Consumer Discretionary,Internet & Direct Marketing Retail
124,AN,Year 1,12/31/2013," $17,517,600,000 "," $14,757,700,000 "," $1,924,300,000 ", $-   ," $95,300,000 ",Consumer Discretionary,Specialty Stores
125,AN,Year 2,12/31/2014," $19,108,800,000 "," $16,120,100,000 "," $2,061,000,000 ", $-   ," $106,900,000 ",Consumer Discretionary,Specialty Stores
126,AN,Year 3,12/31/2015," $20,862,000,000 "," $17,600,500,000 "," $2,245,600,000 ", $-   ," $127,400,000 ",Consumer Discretionary,Specialty Stores
127,AN,Year 4,12/31/2016," $21,609,000,000 "," $18,295,800,000 "," $2,280,300,000 ", $-   ," $143,400,000 ",Consumer Discretionary,Specialty Stores
128,ANTM,Year 1,12/31/2012," $61,497,200,000 "," $48,213,600,000 "," $8,680,500,000 ", $-   ," $233,000,000 ",Health Care,Managed Health Care
129,ANTM,Year 2,12/31/2013," $71,023,500,000 "," $56,237,100,000 "," $9,952,900,000 ", $-   ," $245,300,000 ",Health Care,Managed Health Care
130,ANTM,Year 3,12/31/2014," $73,874,100,000 "," $56,854,900,000 "," $11,748,400,000 ", $-   ," $220,900,000 ",Health Care,Managed Health Care
131,ANTM,Year 4,12/31/2015," $79,156,500,000 "," $61,116,900,000 "," $12,534,800,000 ", $-   ," $230,100,000 ",Health Care,Managed Health Care
136,APA,Year 1,12/31/2012," $16,428,000,000 "," $3,079,000,000 "," $1,333,000,000 ", $-   ," $6,881,000,000 ",Energy,Oil & Gas Exploration & Production
137,APA,Year 2,12/31/2013," $14,771,000,000 "," $2,938,000,000 "," $1,286,000,000 ", $-   ," $5,866,000,000 ",Energy,Oil & Gas Exploration & Production
138,APA,Year 3,12/31/2014," $12,691,000,000 "," $2,511,000,000 "," $1,095,000,000 ", $-   ," $9,720,000,000 ",Energy,Oil & Gas Exploration & Production
139,APA,Year 4,12/31/2015," $6,383,000,000 "," $2,065,000,000 "," $791,000,000 ", $-   ," $29,372,000,000 ",Energy,Oil & Gas Exploration & Production
140,APC,Year 1,12/31/2013," $14,581,000,000 "," $2,942,000,000 "," $2,256,000,000 ", $-   ," $3,927,000,000 ",Energy,Oil & Gas Exploration & Production
141,APC,Year 2,12/31/2014," $18,470,000,000 "," $3,317,000,000 "," $2,725,000,000 ", $-   ," $4,550,000,000 ",Energy,Oil & Gas Exploration & Production
142,APC,Year 3,12/31/2015," $8,698,000,000 "," $3,185,000,000 "," $2,000,000,000 ", $-   ," $4,603,000,000 ",Energy,Oil & Gas Exploration & Production
143,APC,Year 4,12/31/2016," $7,869,000,000 "," $2,900,000,000 "," $2,094,000,000 ", $-   ," $4,301,000,000 ",Energy,Oil & Gas Exploration & Production
144,APD,Year 1,9/30/2013," $10,180,400,000 "," $7,472,100,000 "," $1,018,600,000 "," $133,700,000 ", $-   ,Materials,Industrial Gases
145,APD,Year 2,9/30/2014," $10,439,000,000 "," $7,629,900,000 "," $1,007,400,000 "," $139,800,000 ", $-   ,Materials,Industrial Gases
146,APD,Year 3,9/30/2015," $9,894,900,000 "," $6,939,000,000 "," $895,300,000 "," $137,100,000 ", $-   ,Materials,Industrial Gases
147,APD,Year 4,9/30/2016," $9,524,400,000 "," $6,402,700,000 "," $797,600,000 "," $132,000,000 ", $-   ,Materials,Industrial Gases
148,APH,Year 1,12/31/2012," $4,292,100,000 "," $2,948,900,000 "," $512,900,000 ", $-   , $-   ,Information Technology,Electronic Components
149,APH,Year 2,12/31/2013," $4,614,700,000 "," $3,163,900,000 "," $548,000,000 ", $-   , $-   ,Information Technology,Electronic Components
150,APH,Year 3,12/31/2014," $5,345,500,000 "," $3,651,700,000 "," $645,100,000 ", $-   , $-   ,Information Technology,Electronic Components
151,APH,Year 4,12/31/2015," $5,568,700,000 "," $3,789,200,000 "," $669,100,000 ", $-   , $-   ,Information Technology,Electronic Components
152,ARNC,Year 1,12/31/2012," $23,700,000,000 "," $20,401,000,000 "," $997,000,000 "," $197,000,000 "," $1,460,000,000 ",Industrials,Aerospace & Defense
153,ARNC,Year 2,12/31/2013," $23,032,000,000 "," $19,286,000,000 "," $1,008,000,000 "," $192,000,000 "," $1,421,000,000 ",Industrials,Aerospace & Defense
154,ARNC,Year 3,12/31/2014," $23,906,000,000 "," $19,137,000,000 "," $995,000,000 "," $218,000,000 "," $1,371,000,000 ",Industrials,Aerospace & Defense
155,ARNC,Year 4,12/31/2015," $22,534,000,000 "," $18,069,000,000 "," $979,000,000 "," $238,000,000 "," $1,280,000,000 ",Industrials,Aerospace & Defense
156,ATVI,Year 1,12/31/2012," $4,856,000,000 "," $1,662,000,000 "," $1,139,000,000 "," $604,000,000 ", $-   ,Information Technology,Home Entertainment Software
157,ATVI,Year 2,12/31/2013," $4,583,000,000 "," $1,531,000,000 "," $1,096,000,000 "," $584,000,000 ", $-   ,Information Technology,Home Entertainment Software
158,ATVI,Year 3,12/31/2014," $4,408,000,000 "," $1,525,000,000 "," $1,129,000,000 "," $571,000,000 ", $-   ,Information Technology,Home Entertainment Software
159,ATVI,Year 4,12/31/2015," $4,664,000,000 "," $1,585,000,000 "," $1,114,000,000 "," $646,000,000 ", $-   ,Information Technology,Home Entertainment Software
164,AVGO,Year 1,11/1/2015," $6,824,000,000 "," $3,271,000,000 "," $486,000,000 "," $1,049,000,000 "," $249,000,000 ",Information Technology,Semiconductors
165,AVGO,Year 2,10/30/2016," $13,240,000,000 "," $7,300,000,000 "," $806,000,000 "," $2,674,000,000 "," $1,873,000,000 ",Information Technology,Semiconductors
166,AVY,Year 1,12/31/2012," $5,863,500,000 "," $4,335,300,000 "," $1,148,900,000 ", $-   , $-   ,Materials,Paper Packaging
167,AVY,Year 2,12/28/2013," $6,140,000,000 "," $4,502,300,000 "," $1,174,200,000 ", $-   , $-   ,Materials,Paper Packaging
168,AVY,Year 3,1/3/2015," $6,330,300,000 "," $4,679,100,000 "," $1,158,900,000 ", $-   , $-   ,Materials,Paper Packaging
169,AVY,Year 4,1/2/2016," $5,966,900,000 "," $4,321,100,000 "," $1,108,100,000 ", $-   , $-   ,Materials,Paper Packaging
170,AWK,Year 1,12/31/2012," $2,853,926,000 "," $1,329,500,000 "," $220,758,000 ", $-   ," $380,402,000 ",Utilities,Water Utilities
171,AWK,Year 2,12/31/2013," $2,879,000,000 "," $1,289,000,000 "," $234,000,000 ", $-   ," $407,000,000 ",Utilities,Water Utilities
172,AWK,Year 3,12/31/2014," $3,011,000,000 "," $1,350,000,000 "," $236,000,000 ", $-   ," $424,000,000 ",Utilities,Water Utilities
173,AWK,Year 4,12/31/2015," $3,159,000,000 "," $1,404,000,000 "," $243,000,000 ", $-   ," $440,000,000 ",Utilities,Water Utilities
174,AXP,Year 1,12/31/2012," $33,781,000,000 "," $480,000,000 "," $23,392,000,000 ", $-   ," $1,712,000,000 ",Financials,Consumer Finance
175,AXP,Year 2,12/31/2013," $34,828,000,000 "," $442,000,000 "," $23,150,000,000 ", $-   ," $1,832,000,000 ",Financials,Consumer Finance
176,AXP,Year 3,12/31/2014," $35,895,000,000 "," $373,000,000 "," $23,153,000,000 ", $-   ," $2,044,000,000 ",Financials,Consumer Finance
177,AXP,Year 4,12/31/2015," $34,441,000,000 "," $475,000,000 "," $22,892,000,000 ", $-   ," $1,988,000,000 ",Financials,Consumer Finance
178,AYI,Year 1,8/31/2013," $2,089,100,000 "," $1,251,500,000 "," $607,600,000 ", $-   , $-   ,Industrials,Electrical Components & Equipment
179,AYI,Year 2,8/31/2014," $2,393,500,000 "," $1,414,300,000 "," $680,300,000 ", $-   , $-   ,Industrials,Electrical Components & Equipment
180,AYI,Year 3,8/31/2015," $2,706,700,000 "," $1,561,100,000 "," $756,900,000 ", $-   , $-   ,Industrials,Electrical Components & Equipment
181,AYI,Year 4,8/31/2016," $3,291,300,000 "," $1,855,100,000 "," $946,000,000 ", $-   , $-   ,Industrials,Electrical Components & Equipment
182,AZO,Year 1,8/31/2013," $9,147,530,000 "," $4,406,595,000 "," $2,967,837,000 ", $-   , $-   ,Consumer Discretionary,Specialty Stores
183,AZO,Year 2,8/30/2014," $9,475,313,000 "," $4,540,406,000 "," $3,104,684,000 ", $-   , $-   ,Consumer Discretionary,Specialty Stores
184,AZO,Year 3,8/29/2015," $10,187,340,000 "," $4,860,309,000 "," $3,373,980,000 ", $-   , $-   ,Consumer Discretionary,Specialty Stores
185,AZO,Year 4,8/27/2016," $10,635,676,000 "," $5,026,940,000 "," $3,548,341,000 ", $-   , $-   ,Consumer Discretionary,Specialty Stores
186,BA,Year 1,12/31/2013," $86,623,000,000 "," $73,268,000,000 "," $3,742,000,000 "," $3,071,000,000 ", $-   ,Industrials,Aerospace & Defense
187,BA,Year 2,12/31/2014," $90,762,000,000 "," $76,752,000,000 "," $3,480,000,000 "," $3,047,000,000 ", $-   ,Industrials,Aerospace & Defense
188,BA,Year 3,12/31/2015," $96,114,000,000 "," $82,088,000,000 "," $3,251,000,000 "," $3,331,000,000 ", $-   ,Industrials,Aerospace & Defense
189,BA,Year 4,12/31/2016," $94,571,000,000 "," $80,790,000,000 "," $3,313,000,000 "," $4,627,000,000 ", $-   ,Industrials,Aerospace & Defense
190,BAC,Year 1,12/31/2012," $100,078,000,000 "," $3,753,000,000 "," $70,829,000,000 ", $-   ," $9,433,000,000 ",Financials,Banks
191,BAC,Year 2,12/31/2013," $101,697,000,000 "," $3,034,000,000 "," $68,128,000,000 ", $-   ," $4,642,000,000 ",Financials,Banks
