Country / territory of asylum/residence,Origin,Year,Month,Value,Date
Albania,The former Yugoslav Rep. of Macedonia,2006,November,1,11/1/06
Albania,The former Yugoslav Rep. of Macedonia,2006,December,1,12/1/06
Albania,The former Yugoslav Rep. of Macedonia,2010,August,1,8/1/10
Albania,The former Yugoslav Rep. of Macedonia,2015,January,0,1/1/15
Albania,The former Yugoslav Rep. of Macedonia,2015,February,0,2/1/15
Albania,The former Yugoslav Rep. of Macedonia,2016,August,1,8/1/16
Albania,Mali,2014,May,0,5/1/14
Albania,Mali,2016,July,1,7/1/16
Albania,Montenegro,2005,July,1,7/1/05
Albania,Montenegro,2013,January,1,1/1/13
Albania,Nepal,2007,February,7,2/1/07
Albania,Nepal,2007,April,2,4/1/07
Albania,Nigeria,2007,April,2,4/1/07
Albania,Nigeria,2007,September,1,9/1/07
Albania,Nigeria,2012,July,1,7/1/12
Albania,Pakistan,2011,January,1,1/1/11
Albania,Pakistan,2014,May,0,5/1/14
Albania,Pakistan,2016,September,2,9/1/16
Albania,Peru,2013,January,1,1/1/13
Albania,Russian Federation,2014,September,0,9/1/14
Albania,Russian Federation,2014,November,0,11/1/14
Albania,Russian Federation,2015,May,0,5/1/15
Albania,Saudi Arabia,2010,June,1,6/1/10
Albania,Senegal,2014,June,0,6/1/14
Albania,Somalia,2011,August,2,8/1/11
Albania,Somalia,2011,December,1,12/1/11
Albania,Somalia,2014,June,0,6/1/14
Albania,Somalia,2014,July,0,7/1/14
Albania,Somalia,2014,August,0,8/1/14
Albania,Somalia,2015,June,0,6/1/15
Albania,Sudan,2014,September,0,9/1/14
Albania,Sudan,2015,June,0,6/1/15
Albania,Syrian Arab Rep.,2012,December,3,12/1/12
Albania,Syrian Arab Rep.,2013,March,8,3/1/13
Albania,Syrian Arab Rep.,2013,August,4,8/1/13
Albania,Syrian Arab Rep.,2013,September,4,9/1/13
Albania,Syrian Arab Rep.,2013,December,8,12/1/13
Albania,Syrian Arab Rep.,2014,May,0,5/1/14
Albania,Syrian Arab Rep.,2014,June,0,6/1/14
Albania,Syrian Arab Rep.,2014,July,10,7/1/14
Albania,Syrian Arab Rep.,2014,August,6,8/1/14
Albania,Syrian Arab Rep.,2014,September,0,9/1/14
Albania,Syrian Arab Rep.,2014,October,32,10/1/14
Albania,Syrian Arab Rep.,2014,November,30,11/1/14
Albania,Syrian Arab Rep.,2014,December,8,12/1/14
Albania,Syrian Arab Rep.,2015,April,28,4/1/15
Albania,Syrian Arab Rep.,2015,May,0,5/1/15
Albania,Syrian Arab Rep.,2015,June,37,6/1/15
Albania,Syrian Arab Rep.,2015,August,0,8/1/15
Albania,Syrian Arab Rep.,2015,October,0,10/1/15
Albania,Syrian Arab Rep.,2016,May,16,5/1/16
Albania,Syrian Arab Rep.,2016,August,23,8/1/16
Albania,Syrian Arab Rep.,2016,September,85,9/1/16
Albania,Tunisia,2010,February,1,2/1/10
Albania,Tunisia,2016,May,3,5/1/16
Albania,Turkey,2005,August,1,8/1/05
Albania,Turkey,2006,March,1,3/1/06
Albania,Turkey,2012,November,1,11/1/12
Albania,Turkey,2016,April,1,4/1/16
Albania,Ukraine,2014,May,0,5/1/14
Albania,Ukraine,2015,May,0,5/1/15
Albania,Ukraine,2015,June,0,6/1/15
Albania,Ukraine,2015,November,0,11/1/15
Albania,Uzbekistan,2006,November,1,11/1/06
Australia,Afghanistan,1999,January,8,1/1/99
Australia,Afghanistan,1999,February,10,2/1/99
Australia,Afghanistan,1999,March,25,3/1/99
Australia,Afghanistan,1999,April,25,4/1/99
Australia,Afghanistan,1999,May,7,5/1/99
Australia,Bangladesh,2000,October,25,10/1/00
Australia,Afghanistan,1999,June,24,6/1/99
Australia,Afghanistan,1999,July,30,7/1/99
Australia,Afghanistan,1999,August,15,8/1/99
Australia,Afghanistan,1999,September,10,9/1/99
Australia,Afghanistan,1999,October,88,10/1/99
Australia,Afghanistan,1999,November,233,11/1/99
Australia,Afghanistan,1999,December,134,12/1/99
Australia,Afghanistan,2000,January,182,1/1/00
Australia,Afghanistan,2000,February,258,2/1/00
Australia,Afghanistan,2000,March,23,3/1/00
Australia,Afghanistan,2000,April,75,4/1/00
Australia,Afghanistan,2000,May,243,5/1/00
Australia,Afghanistan,2000,June,46,6/1/00
Australia,Afghanistan,2000,July,37,7/1/00
Australia,Afghanistan,2000,August,24,8/1/00
Australia,Afghanistan,2000,September,108,9/1/00
Australia,Afghanistan,2000,October,29,10/1/00
Australia,Afghanistan,2000,November,95,11/1/00
Australia,Afghanistan,2000,December,192,12/1/00
Australia,Afghanistan,2001,January,612,1/1/01
Australia,Afghanistan,2001,February,59,2/1/01
Australia,Afghanistan,2001,March,169,3/1/01
Australia,Afghanistan,2001,April,214,4/1/01
Australia,Afghanistan,2001,May,323,5/1/01
Australia,Afghanistan,2001,June,367,6/1/01
Australia,Afghanistan,2001,July,142,7/1/01
Australia,Afghanistan,2001,August,101,8/1/01
Australia,Afghanistan,2001,September,102,9/1/01
Australia,Afghanistan,2001,October,11,10/1/01
Australia,Afghanistan,2001,November,57,11/1/01
Australia,Afghanistan,2001,December,4,12/1/01
Australia,Afghanistan,2002,January,3,1/1/02
Australia,Afghanistan,2002,February,6,2/1/02
Australia,Afghanistan,2002,March,7,3/1/02
Australia,Afghanistan,2002,April,11,4/1/02
Australia,Afghanistan,2002,May,8,5/1/02
Australia,Afghanistan,2002,June,6,6/1/02
Australia,Afghanistan,2002,July,2,7/1/02
Australia,Afghanistan,2002,August,3,8/1/02
Australia,Afghanistan,2002,September,5,9/1/02
Australia,Afghanistan,2002,October,3,10/1/02
Australia,Afghanistan,2002,November,4,11/1/02
Australia,Afghanistan,2002,December,2,12/1/02
Australia,Afghanistan,2003,January,4,1/1/03
Australia,Afghanistan,2003,February,3,2/1/03
Australia,Afghanistan,2003,March,9,3/1/03
Australia,Afghanistan,2003,April,3,4/1/03
Australia,Afghanistan,2003,May,2,5/1/03
Australia,Afghanistan,2003,June,1,6/1/03
Australia,Afghanistan,2003,August,1,8/1/03
Australia,Afghanistan,2003,September,2,9/1/03
Australia,Afghanistan,2003,October,3,10/1/03
Australia,Afghanistan,2003,November,2,11/1/03
Australia,Afghanistan,2003,December,1,12/1/03
Australia,Afghanistan,2004,January,18,1/1/04
Australia,Afghanistan,2004,February,4,2/1/04
Australia,Afghanistan,2004,March,1,3/1/04
Australia,Afghanistan,2004,April,3,4/1/04
Australia,Afghanistan,2004,May,3,5/1/04
Australia,Afghanistan,2004,June,4,6/1/04
Australia,Afghanistan,2004,July,8,7/1/04
Australia,Afghanistan,2004,August,1,8/1/04
Australia,Afghanistan,2004,September,63,9/1/04
Australia,Afghanistan,2004,October,3,10/1/04
Australia,Afghanistan,2004,November,4,11/1/04
Australia,Afghanistan,2005,January,2,1/1/05
Australia,Afghanistan,2005,February,1,2/1/05
Australia,Afghanistan,2005,March,8,3/1/05
Australia,Afghanistan,2005,April,2,4/1/05
Australia,Afghanistan,2005,May,3,5/1/05
Australia,Afghanistan,2005,July,1,7/1/05
Australia,Afghanistan,2005,August,2,8/1/05
Australia,Afghanistan,2005,September,7,9/1/05
Australia,Afghanistan,2005,October,1,10/1/05
Australia,Afghanistan,2005,November,2,11/1/05
Australia,Afghanistan,2006,February,1,2/1/06
Australia,Afghanistan,2006,April,2,4/1/06
Australia,Afghanistan,2006,May,1,5/1/06
Australia,Afghanistan,2006,July,1,7/1/06
Australia,Afghanistan,2006,August,5,8/1/06
Australia,Afghanistan,2006,September,4,9/1/06
Australia,Afghanistan,2006,October,2,10/1/06
Australia,Afghanistan,2006,November,5,11/1/06
Australia,Afghanistan,2006,December,1,12/1/06
Australia,Afghanistan,2007,January,1,1/1/07
Australia,Afghanistan,2007,February,2,2/1/07
Australia,Afghanistan,2007,March,1,3/1/07
Australia,Afghanistan,2007,May,2,5/1/07
Australia,Afghanistan,2007,June,8,6/1/07
Australia,Afghanistan,2007,July,2,7/1/07
Australia,Afghanistan,2007,October,2,10/1/07
Australia,Afghanistan,2007,November,1,11/1/07
Australia,Afghanistan,2007,December,1,12/1/07
Australia,Afghanistan,2008,February,2,2/1/08
Australia,Afghanistan,2008,March,1,3/1/08
Australia,Afghanistan,2008,April,3,4/1/08
Australia,Afghanistan,2008,May,7,5/1/08
Australia,Afghanistan,2008,June,1,6/1/08
Australia,Afghanistan,2008,July,8,7/1/08
Australia,Afghanistan,2008,August,3,8/1/08
Australia,Afghanistan,2008,September,3,9/1/08
Australia,Afghanistan,2008,October,18,10/1/08
Australia,Afghanistan,2008,November,12,11/1/08
Australia,Afghanistan,2008,December,20,12/1/08
Australia,Afghanistan,2009,January,87,1/1/09
Australia,Afghanistan,2009,February,24,2/1/09
Australia,Afghanistan,2009,March,48,3/1/09
Australia,Afghanistan,2009,April,5,4/1/09
Australia,Afghanistan,2009,May,157,5/1/09
Australia,Afghanistan,2009,June,192,6/1/09
Australia,Afghanistan,2009,July,53,7/1/09
Australia,Afghanistan,2009,August,10,8/1/09
Australia,Afghanistan,2009,September,10,9/1/09
Australia,Afghanistan,2009,October,213,10/1/09
Australia,Afghanistan,2009,November,281,11/1/09
Australia,Afghanistan,2009,December,290,12/1/09
Australia,Afghanistan,2010,January,80,1/1/10
Australia,Afghanistan,2010,February,360,2/1/10
Australia,Afghanistan,2010,March,96,3/1/10
Australia,Afghanistan,2010,April,331,4/1/10
Australia,Afghanistan,2010,May,15,5/1/10
Australia,Afghanistan,2010,June,1066,6/1/10
Australia,Afghanistan,2010,July,370,7/1/10
Australia,Afghanistan,2010,August,279,8/1/10
Australia,Afghanistan,2010,September,144,9/1/10
Australia,Afghanistan,2010,October,112,10/1/10
Australia,Afghanistan,2010,November,177,11/1/10
Australia,Afghanistan,2010,December,99,12/1/10
Australia,Colombia,2000,October,7,10/1/00
Australia,United Kingdom of Great Britain and Northern Ireland,2010,December,1,12/1/10
Australia,Colombia,2000,November,16,11/1/00
Australia,Colombia,2000,December,16,12/1/00
Australia,Colombia,2001,January,18,1/1/01
Australia,Colombia,2001,February,2,2/1/01
Australia,Colombia,2001,March,8,3/1/01
Australia,Colombia,2001,April,12,4/1/01
Australia,Colombia,2001,May,2,5/1/01
Australia,Colombia,2001,June,11,6/1/01
Australia,Colombia,2001,July,10,7/1/01
Australia,Colombia,2001,August,7,8/1/01
Australia,Colombia,2001,September,6,9/1/01
Australia,Colombia,2001,October,5,10/1/01
Australia,Colombia,2001,November,1,11/1/01
Australia,Colombia,2001,December,4,12/1/01
Australia,Colombia,2002,January,1,1/1/02
Australia,Colombia,2002,February,8,2/1/02
Australia,Colombia,2002,March,2,3/1/02
Australia,Colombia,2002,May,3,5/1/02
Australia,Colombia,2002,June,1,6/1/02
Australia,Colombia,2002,July,5,7/1/02
Australia,Colombia,2002,August,3,8/1/02
Australia,Colombia,2002,September,5,9/1/02
Australia,Colombia,2002,October,4,10/1/02
Australia,Colombia,2002,December,5,12/1/02
Australia,Colombia,2003,April,4,4/1/03
Australia,Colombia,2003,May,1,5/1/03
Australia,Colombia,2003,June,1,6/1/03
Australia,Colombia,2003,July,5,7/1/03
Australia,Colombia,2003,September,6,9/1/03
Australia,Colombia,2003,October,3,10/1/03
Australia,Colombia,2003,November,2,11/1/03
Australia,Colombia,2003,December,1,12/1/03
Australia,Colombia,2004,February,3,2/1/04
Australia,Colombia,2004,March,1,3/1/04
Australia,Colombia,2004,April,1,4/1/04
Australia,Colombia,2004,May,2,5/1/04
Australia,Colombia,2004,August,2,8/1/04
Australia,Colombia,2005,January,1,1/1/05
Australia,Colombia,2005,April,3,4/1/05
Australia,Colombia,2005,May,2,5/1/05
Australia,Colombia,2005,June,5,6/1/05
Australia,Colombia,2005,July,3,7/1/05
Australia,Colombia,2005,August,3,8/1/05
Australia,Colombia,2005,September,6,9/1/05
Australia,Colombia,2006,February,1,2/1/06
Australia,Colombia,2006,April,2,4/1/06
Australia,Colombia,2006,May,2,5/1/06
Australia,Colombia,2006,June,4,6/1/06
Australia,Colombia,2006,August,1,8/1/06
Australia,Colombia,2006,September,1,9/1/06
Australia,Colombia,2006,November,1,11/1/06
Australia,Colombia,2006,December,6,12/1/06
Australia,Colombia,2007,January,2,1/1/07
Australia,Colombia,2007,February,5,2/1/07
Australia,Colombia,2007,March,1,3/1/07
Australia,Colombia,2007,April,5,4/1/07
Australia,Colombia,2007,May,3,5/1/07
Australia,Colombia,2007,June,1,6/1/07
Australia,Colombia,2007,July,2,7/1/07
Australia,Colombia,2007,August,2,8/1/07
Australia,Colombia,2007,September,1,9/1/07
Australia,Colombia,2007,October,2,10/1/07
Australia,Colombia,2007,November,1,11/1/07
Australia,Colombia,2008,February,2,2/1/08
Australia,Colombia,2008,May,1,5/1/08
Australia,Colombia,2008,June,3,6/1/08
Australia,Colombia,2008,July,5,7/1/08
Australia,Colombia,2008,August,3,8/1/08
Australia,Colombia,2008,September,1,9/1/08
Australia,Colombia,2008,October,3,10/1/08
Australia,Colombia,2008,November,4,11/1/08
Australia,Colombia,2008,December,1,12/1/08
Australia,Colombia,2009,February,4,2/1/09
Australia,Colombia,2009,April,3,4/1/09
Australia,Colombia,2009,June,6,6/1/09
Australia,Colombia,2009,July,7,7/1/09
Australia,Colombia,2009,August,3,8/1/09
Australia,Colombia,2009,September,1,9/1/09
Australia,Colombia,2009,October,7,10/1/09
Australia,Colombia,2009,November,2,11/1/09
Australia,Colombia,2009,December,4,12/1/09
Australia,Colombia,2010,January,3,1/1/10
Australia,Colombia,2010,February,4,2/1/10
Australia,Colombia,2010,March,10,3/1/10
Australia,Colombia,2010,April,2,4/1/10
Australia,Colombia,2010,May,1,5/1/10
Australia,Colombia,2010,June,3,6/1/10
Australia,Colombia,2010,July,1,7/1/10
Australia,Colombia,2010,August,2,8/1/10
Australia,Colombia,2010,September,1,9/1/10
Australia,Colombia,2010,November,4,11/1/10
Australia,Colombia,2010,December,6,12/1/10
Australia,Colombia,2011,January,1,1/1/11
Australia,Colombia,2011,February,7,2/1/11
Australia,Colombia,2011,March,1,3/1/11
Australia,Colombia,2011,April,8,4/1/11
Australia,Colombia,2011,May,2,5/1/11
Australia,Colombia,2011,June,2,6/1/11
Australia,Colombia,2011,July,9,7/1/11
Australia,Colombia,2011,August,3,8/1/11
Australia,Colombia,2011,September,1,9/1/11
Australia,Colombia,2011,October,5,10/1/11
Australia,Colombia,2011,November,5,11/1/11
Australia,Colombia,2011,December,3,12/1/11
Australia,Colombia,2012,January,3,1/1/12
Australia,Colombia,2012,February,6,2/1/12
Australia,Colombia,2012,March,5,3/1/12
Australia,Colombia,2012,April,1,4/1/12
Australia,Colombia,2012,May,4,5/1/12
Australia,Colombia,2012,June,1,6/1/12
Australia,Colombia,2012,July,4,7/1/12
Australia,Colombia,2012,August,2,8/1/12
Australia,Colombia,2012,September,1,9/1/12
Australia,Colombia,2012,October,1,10/1/12
Australia,Colombia,2012,November,3,11/1/12
Australia,Colombia,2012,December,5,12/1/12
Australia,Colombia,2013,January,4,1/1/13
Australia,Colombia,2013,February,5,2/1/13
Australia,Colombia,2013,March,3,3/1/13
Australia,Colombia,2013,May,1,5/1/13
Australia,Colombia,2013,June,1,6/1/13
Australia,Colombia,2013,July,4,7/1/13
Australia,Colombia,2013,August,8,8/1/13
Australia,Colombia,2013,September,7,9/1/13
Australia,Colombia,2013,October,3,10/1/13
Australia,Colombia,2013,November,1,11/1/13
Australia,Colombia,2013,December,5,12/1/13
Australia,Colombia,2014,January,0,1/1/14
Australia,United Kingdom of Great Britain and Northern Ireland,2011,January,1,1/1/11
Australia,United Kingdom of Great Britain and Northern Ireland,2011,February,1,2/1/11
Australia,United Kingdom of Great Britain and Northern Ireland,2011,March,3,3/1/11
Australia,United Kingdom of Great Britain and Northern Ireland,2011,May,1,5/1/11
Australia,United Kingdom of Great Britain and Northern Ireland,2011,September,1,9/1/11
Australia,United Kingdom of Great Britain and Northern Ireland,2012,March,2,3/1/12
Australia,United Kingdom of Great Britain and Northern Ireland,2012,May,3,5/1/12
Australia,United Kingdom of Great Britain and Northern Ireland,2012,June,7,6/1/12
Australia,United Kingdom of Great Britain and Northern Ireland,2012,July,1,7/1/12
Australia,United Kingdom of Great Britain and Northern Ireland,2012,August,1,8/1/12
Australia,United Kingdom of Great Britain and Northern Ireland,2012,September,5,9/1/12
Australia,United Kingdom of Great Britain and Northern Ireland,2012,October,5,10/1/12
Australia,United Kingdom of Great Britain and Northern Ireland,2012,November,1,11/1/12
Australia,United Kingdom of Great Britain and Northern Ireland,2013,February,1,2/1/13
Australia,United Kingdom of Great Britain and Northern Ireland,2013,April,4,4/1/13
Australia,United Kingdom of Great Britain and Northern Ireland,2013,May,1,5/1/13
Australia,United Kingdom of Great Britain and Northern Ireland,2013,June,3,6/1/13
Australia,United Kingdom of Great Britain and Northern Ireland,2013,August,1,8/1/13
Australia,United Kingdom of Great Britain and Northern Ireland,2013,September,7,9/1/13
Australia,United Kingdom of Great Britain and Northern Ireland,2013,October,1,10/1/13
Australia,United Kingdom of Great Britain and Northern Ireland,2013,December,1,12/1/13
Australia,United Kingdom of Great Britain and Northern Ireland,2014,January,0,1/1/14
Australia,United Kingdom of Great Britain and Northern Ireland,2014,February,0,2/1/14
Australia,United Kingdom of Great Britain and Northern Ireland,2014,March,0,3/1/14
Australia,United Kingdom of Great Britain and Northern Ireland,2014,April,0,4/1/14
Australia,United Kingdom of Great Britain and Northern Ireland,2014,July,0,7/1/14
Australia,United Kingdom of Great Britain and Northern Ireland,2014,September,0,9/1/14
Australia,United Kingdom of Great Britain and Northern Ireland,2014,October,0,10/1/14
Australia,United Kingdom of Great Britain and Northern Ireland,2014,November,0,11/1/14
Australia,United Kingdom of Great Britain and Northern Ireland,2014,December,0,12/1/14
Australia,United Kingdom of Great Britain and Northern Ireland,2015,February,0,2/1/15
Australia,United Kingdom of Great Britain and Northern Ireland,2015,March,0,3/1/15
Australia,United Kingdom of Great Britain and Northern Ireland,2015,April,0,4/1/15
Australia,United Kingdom of Great Britain and Northern Ireland,2015,May,0,5/1/15
Australia,United Kingdom of Great Britain and Northern Ireland,2015,June,5,6/1/15
Australia,United Kingdom of Great Britain and Northern Ireland,2015,July,0,7/1/15
Australia,United Kingdom of Great Britain and Northern Ireland,2015,August,6,8/1/15
Australia,United Kingdom of Great Britain and Northern Ireland,2015,September,6,9/1/15
Australia,United Kingdom of Great Britain and Northern Ireland,2015,October,5,10/1/15
Australia,United Kingdom of Great Britain and Northern Ireland,2015,November,0,11/1/15
Australia,United Kingdom of Great Britain and Northern Ireland,2016,January,1,1/1/16
Australia,United Kingdom of Great Britain and Northern Ireland,2016,April,5,4/1/16
Australia,Georgia,1999,January,1,1/1/99
Australia,Georgia,1999,February,2,2/1/99
Australia,Georgia,1999,March,3,3/1/99
Australia,Georgia,1999,May,14,5/1/99
Australia,Georgia,1999,June,1,6/1/99
Australia,Georgia,1999,September,5,9/1/99
Australia,Georgia,1999,October,1,10/1/99
Australia,Georgia,1999,November,1,11/1/99
Australia,Georgia,1999,December,1,12/1/99
Australia,Georgia,2000,March,1,3/1/00
Australia,Georgia,2000,May,5,5/1/00
Australia,Georgia,2000,July,1,7/1/00
Australia,Georgia,2000,August,2,8/1/00
Australia,Georgia,2000,September,2,9/1/00
Australia,Georgia,2000,October,3,10/1/00
Australia,Georgia,2000,December,2,12/1/00
Australia,Georgia,2001,January,1,1/1/01
Australia,Georgia,2001,February,2,2/1/01
Australia,Georgia,2001,May,4,5/1/01
Australia,Georgia,2001,November,1,11/1/01
Australia,Georgia,2002,March,1,3/1/02
Australia,Georgia,2004,May,1,5/1/04
Australia,Georgia,2006,February,1,2/1/06
Australia,Georgia,2006,June,1,6/1/06
Australia,Georgia,2006,October,1,10/1/06
Australia,Georgia,2008,April,1,4/1/08
Australia,Georgia,2009,March,1,3/1/09
Australia,Georgia,2009,August,2,8/1/09
Australia,Georgia,2010,December,1,12/1/10
Australia,Georgia,2011,January,2,1/1/11
Australia,Georgia,2011,July,2,7/1/11
Australia,Georgia,2011,August,1,8/1/11
Australia,Georgia,2011,October,3,10/1/11
Australia,Georgia,2011,November,1,11/1/11
Australia,Georgia,2011,December,1,12/1/11
Australia,Georgia,2012,February,5,2/1/12
Australia,Georgia,2012,May,3,5/1/12
Australia,Georgia,2013,January,2,1/1/13
Australia,Georgia,2013,February,2,2/1/13
Australia,Georgia,2013,March,1,3/1/13
Australia,Georgia,2013,April,2,4/1/13
Australia,Georgia,2013,June,3,6/1/13
Australia,Georgia,2013,August,2,8/1/13
Australia,Georgia,2013,September,3,9/1/13
Australia,Georgia,2013,October,4,10/1/13
Australia,Georgia,2013,December,2,12/1/13
Australia,Georgia,2014,April,0,4/1/14
Australia,Georgia,2015,December,0,12/1/15
Australia,Georgia,2016,February,2,2/1/16
Australia,Germany,1999,February,2,2/1/99
Australia,Germany,1999,May,3,5/1/99
Australia,Germany,1999,December,1,12/1/99
Australia,Germany,2000,January,2,1/1/00
Australia,Germany,2000,February,2,2/1/00
Australia,Germany,2000,May,1,5/1/00
Australia,Germany,2000,October,2,10/1/00
Australia,Germany,2001,June,2,6/1/01
Australia,Germany,2001,August,1,8/1/01
Australia,Germany,2001,October,1,10/1/01
Australia,Germany,2002,June,4,6/1/02
Australia,Germany,2003,September,3,9/1/03
Australia,Germany,2004,March,4,3/1/04
Australia,Germany,2004,May,1,5/1/04
Australia,Germany,2005,September,2,9/1/05
Australia,Germany,2005,December,1,12/1/05
Australia,Germany,2006,January,2,1/1/06
Australia,Germany,2006,June,2,6/1/06
Australia,Germany,2007,April,1,4/1/07
Australia,Germany,2007,May,1,5/1/07
Australia,Germany,2008,April,1,4/1/08
Australia,Germany,2008,July,4,7/1/08
Australia,Germany,2008,November,7,11/1/08
Australia,Germany,2009,February,3,2/1/09
Australia,Germany,2009,July,3,7/1/09
Australia,Germany,2010,January,1,1/1/10
Australia,Germany,2010,July,1,7/1/10
Australia,Germany,2011,February,1,2/1/11
Australia,Germany,2011,April,2,4/1/11
Australia,Germany,2011,September,1,9/1/11
Australia,Germany,2011,December,1,12/1/11
Australia,Germany,2012,April,4,4/1/12
Australia,Germany,2012,May,4,5/1/12
Australia,Germany,2012,June,2,6/1/12
Australia,Germany,2013,April,1,4/1/13
Australia,Germany,2013,September,1,9/1/13
Australia,Germany,2013,October,2,10/1/13
Australia,Bangladesh,2000,November,20,11/1/00
Australia,Bangladesh,2000,December,20,12/1/00
Australia,Bangladesh,2001,January,14,1/1/01
Australia,Bangladesh,2001,February,25,2/1/01
Australia,Bangladesh,2001,March,18,3/1/01
Australia,Bangladesh,2001,April,23,4/1/01
Australia,Bangladesh,2001,May,38,5/1/01
Australia,Bangladesh,2001,June,16,6/1/01
Australia,Bangladesh,2001,July,15,7/1/01
Australia,Bangladesh,2001,August,16,8/1/01
Australia,Bangladesh,2001,September,23,9/1/01
Australia,Bangladesh,2001,October,26,10/1/01
Australia,Bangladesh,2001,November,22,11/1/01
Australia,Bangladesh,2001,December,25,12/1/01
Australia,Bangladesh,2002,January,12,1/1/02
Australia,Bangladesh,2002,February,4,2/1/02
